id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,13.0,HEKTAR,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,16.0,HEKTAR,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,1.0,HEKTAR,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,5.0,HEKTAR,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,8.0,HEKTAR,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6.0,HEKTAR,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,5.0,HEKTAR,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,226.0,HEKTAR,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,743.0,HEKTAR,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,932.0,HEKTAR,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,518.0,HEKTAR,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,4420.0,HEKTAR,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,496.0,HEKTAR,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,126.0,HEKTAR,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,124.0,HEKTAR,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,161.0,HEKTAR,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,203.0,HEKTAR,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,39.0,HEKTAR,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,318.0,HEKTAR,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,84.0,HEKTAR,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,HEKTAR,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,287.0,HEKTAR,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2.0,HEKTAR,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,31.0,HEKTAR,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,6.0,HEKTAR,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,4.0,HEKTAR,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,1.0,HEKTAR,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,5.0,HEKTAR,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5.0,HEKTAR,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,10.0,HEKTAR,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,204.0,HEKTAR,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,568.0,HEKTAR,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,742.0,HEKTAR,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1187.0,HEKTAR,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,4914.0,HEKTAR,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,381.0,HEKTAR,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,82.0,HEKTAR,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,135.0,HEKTAR,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,118.0,HEKTAR,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,136.0,HEKTAR,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,48.0,HEKTAR,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,291.0,HEKTAR,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,76.0,HEKTAR,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,HEKTAR,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,381.0,HEKTAR,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,HEKTAR,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,30.0,HEKTAR,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,4.0,HEKTAR,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,4.0,HEKTAR,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1.0,HEKTAR,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,16.0,HEKTAR,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,247.0,HEKTAR,2018
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,704.0,HEKTAR,2018
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1012.0,HEKTAR,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1127.0,HEKTAR,2018
140,32,JAWA BARAT,3205,KABUPATEN GARUT,4141.0,HEKTAR,2018
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,382.0,HEKTAR,2018
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,93.0,HEKTAR,2018
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,105.0,HEKTAR,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,122.0,HEKTAR,2018
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,223.0,HEKTAR,2018
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,92.0,HEKTAR,2018
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,266.0,HEKTAR,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,93.0,HEKTAR,2018
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2.0,HEKTAR,2018
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,HEKTAR,2018
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,512.0,HEKTAR,2018
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7.0,HEKTAR,2018
154,32,JAWA BARAT,3271,KOTA BOGOR,21.0,HEKTAR,2018
155,32,JAWA BARAT,3272,KOTA SUKABUMI,7.0,HEKTAR,2018
156,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2018
157,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2018
158,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2018
159,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2018
160,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2018
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4.0,HEKTAR,2018
162,32,JAWA BARAT,3279,KOTA BANJAR,27.0,HEKTAR,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,311.0,HEKTAR,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,599.0,HEKTAR,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1071.0,HEKTAR,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1410.0,HEKTAR,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,3884.0,HEKTAR,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,340.0,HEKTAR,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,100.0,HEKTAR,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,51.0,HEKTAR,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,112.0,HEKTAR,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,218.0,HEKTAR,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,51.0,HEKTAR,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,229.0,HEKTAR,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,110.0,HEKTAR,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,HEKTAR,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,503.0,HEKTAR,2019
